Date,Hurst Exponent
2008-03-31,0.7362541624991694
2008-04-15,0.7445471473443703
2008-04-30,0.7501499834037011
2008-05-15,0.7544607958502507
2008-05-30,0.756937318357063
2008-06-13,0.757573612031857
2008-06-30,0.7567235284695545
2008-07-15,0.7549968687973374
2008-07-31,0.752057147844995
2008-08-15,0.7535079805954618
2008-08-29,0.7543198354374976
2008-09-15,0.752305060759849
2008-09-30,0.7455243972357272
2008-10-15,0.7192475507673793
2008-10-31,0.7133145998068171
2008-11-14,0.6784099889930971
2008-11-28,0.6621526750157541
2008-12-15,0.6811698018144028
2008-12-31,0.6960150301484374
2009-01-15,0.7111207109785551
2009-01-30,0.7183328857791655
2009-02-13,0.7282929752745356
2009-02-27,0.7370503880135095
2009-03-13,0.743784514246704
2009-03-31,0.7486143109723599
2009-04-15,0.7495446685719105
2009-04-30,0.7448157369031678
2009-05-15,0.7457725276627742
2009-05-29,0.7425756907587436
2009-06-15,0.7373277149661476
2009-06-30,0.7331525016420498
2009-07-15,0.7299876998414135
2009-07-31,0.7281206505531097
2009-08-14,0.7177407428126876
2009-08-31,0.7107675951354768
2009-09-15,0.7068954137754798
2009-09-30,0.7050178380644985
2009-10-15,0.7042457755379438
2009-10-30,0.7047077832776183
2009-11-13,0.6982045848876934
2009-11-30,0.6959544873889905
2009-12-15,0.6958546367331192
2009-12-31,0.6979828257731631
2010-01-15,0.7169111782848775
2010-01-29,0.7184395365214664
2010-02-12,0.7125161184673676
2010-02-26,0.7122427910289953
2010-03-15,0.708684976055611
2010-03-31,0.7059142198865985
2010-04-15,0.6993650675272377
2010-04-30,0.7015143850217617
2010-05-14,0.6846914363735015
2010-05-28,0.6715533376134414
2010-06-15,0.6671795683959784
2010-06-30,0.6579762423218639
2010-07-15,0.6536683114994674
2010-07-30,0.6563026319180084
2010-08-13,0.6688271439867024
2010-08-31,0.6656595188546632
2010-09-15,0.6350882153782171
2010-09-30,0.609070486440111
2010-10-15,0.6040553339727133
2010-10-29,0.6095191343957042
2010-11-15,0.5845575494796885
